signature_id,paper_id,gene_symbol,direction,coefficient,component_type,source_table,source_page,source_url_or_file,verified,notes
SIG_ATNF_ARJIS5,P_ARJIS_UC,TNFRSF11B,NR_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,PubMed;GEO;primary paper,True,
SIG_ATNF_ARJIS5,P_ARJIS_UC,STC1,NR_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,PubMed;GEO;primary paper,True,
SIG_ATNF_ARJIS5,P_ARJIS_UC,PTGS2,NR_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,PubMed;GEO;primary paper,True,
SIG_ATNF_ARJIS5,P_ARJIS_UC,IL13RA2,NR_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,PubMed;GEO;primary paper,True,
SIG_ATNF_ARJIS5,P_ARJIS_UC,IL11,NR_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,PubMed;GEO;primary paper,True,
SIG_ATNF_OSM1,P_OSM,OSM,NR_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,primary paper;PubMed,True,
SIG_ATNF_TREM1_BLOOD,P_GAUJOUX,TREM1,NR_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,PMC6580771,True,
SIG_ATNF_7GENE,P_SEVEN,WNK2,R_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,PMC8534494,True,
SIG_ATNF_7GENE,P_SEVEN,OCRL,R_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,PMC8534494,True,
SIG_ATNF_7GENE,P_SEVEN,ASB7,R_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,PMC8534494,True,
SIG_ATNF_7GENE,P_SEVEN,PCBP3,NR_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,PMC8534494,True,
SIG_ATNF_7GENE,P_SEVEN,AMPD2,NR_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,PMC8534494,True,
SIG_ATNF_7GENE,P_SEVEN,FAM155A,NR_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,PMC8534494,True,
SIG_ATNF_7GENE,P_SEVEN,IL13RA2,NR_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,PMC8534494,True,
SIG_MIN6,P_MIN,G0S2,UNSIGNED,,gene,main text/figure or stated panel,not page-stable in HTML,PubMed 33872704,True,
SIG_MIN6,P_MIN,S100A9,UNSIGNED,,gene,main text/figure or stated panel,not page-stable in HTML,PubMed 33872704,True,
SIG_MIN6,P_MIN,SELE,UNSIGNED,,gene,main text/figure or stated panel,not page-stable in HTML,PubMed 33872704,True,
SIG_MIN6,P_MIN,CHI3L1,UNSIGNED,,gene,main text/figure or stated panel,not page-stable in HTML,PubMed 33872704,True,
SIG_MIN6,P_MIN,MMP1,UNSIGNED,,gene,main text/figure or stated panel,not page-stable in HTML,PubMed 33872704,True,
SIG_MIN6,P_MIN,CXCL13,UNSIGNED,,gene,main text/figure or stated panel,not page-stable in HTML,PubMed 33872704,True,
SIG_VDZ4,P_VDZ4,PIWIL1,R_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,PMC7196933,True,
SIG_VDZ4,P_VDZ4,MAATS1,R_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,PMC7196933,True,
SIG_VDZ4,P_VDZ4,RGS13,R_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,PMC7196933,True,
SIG_VDZ4,P_VDZ4,DCHS2,R_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,PMC7196933,True,
SIG_VDZ_ANDO7,P_ANDO2026,ARMC2,R_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,PMC12896092,True,
SIG_VDZ_ANDO7,P_ANDO2026,BCL11B,R_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,PMC12896092,True,
SIG_VDZ_ANDO7,P_ANDO2026,CDH23,R_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,PMC12896092,True,
SIG_VDZ_ANDO7,P_ANDO2026,CRB2,R_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,PMC12896092,True,
SIG_VDZ_ANDO7,P_ANDO2026,MEGF6,R_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,PMC12896092,True,
SIG_VDZ_ANDO7,P_ANDO2026,NAPSB,R_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,PMC12896092,True,
SIG_VDZ_ANDO7,P_ANDO2026,BCAP31,NR_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,PMC12896092,True,
SIG_UST4_COEF,P_UST4,HSD3B1,R_HIGH,0.10506761,gene,main text/figure or stated panel,not page-stable in HTML,PMC8589399,True,
SIG_UST4_COEF,P_UST4,MUC4,NR_HIGH,-0.01419220,gene,main text/figure or stated panel,not page-stable in HTML,PMC8589399,True,
SIG_UST4_COEF,P_UST4,CFI,NR_HIGH,-0.41004617,gene,main text/figure or stated panel,not page-stable in HTML,PMC8589399,True,CFI standardized from paper token CF1 using the paper's own univariate predictor CFI
SIG_UST4_COEF,P_UST4,CCL11,NR_HIGH,-0.01087779,gene,main text/figure or stated panel,not page-stable in HTML,PMC8589399,True,
SIG_UST_HUB4,P_UST_HUB,MUC1,NR_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,PMC11150586,True,
SIG_UST_HUB4,P_UST_HUB,DUOX2,NR_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,PMC11150586,True,
SIG_UST_HUB4,P_UST_HUB,LCN2,NR_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,PMC11150586,True,
SIG_UST_HUB4,P_UST_HUB,PDZK1IP1,NR_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,PMC11150586,True,
SIG_UST_MH2,P_UST_MH2,LCN2,NR_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,PMC11210135,True,
SIG_UST_MH2,P_UST_MH2,KDM5D,NR_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,PMC11210135,True,
SIG_CROSS_UC4,P_UC4_CROSS,IGFBP5,NR_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,primary article,True,
SIG_CROSS_UC4,P_UC4_CROSS,SELE,NR_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,primary article,True,
SIG_CROSS_UC4,P_UC4_CROSS,STC1,NR_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,primary article,True,
SIG_CROSS_UC4,P_UC4_CROSS,VNN2,NR_HIGH,,gene,main text/figure or stated panel,not page-stable in HTML,primary article,True,
