signature_1,signature_2,n_shared_tasks,median_spearman_rho
SIG_ATNF_7GENE,SIG_ATNF_ARJIS5,5,0.7562215247544801
SIG_ATNF_7GENE,SIG_ATNF_OSM1,5,0.48404441846873175
SIG_ATNF_7GENE,SIG_CROSS_UC4,5,0.792811582464311
SIG_ATNF_7GENE,SIG_UST4_COEF,4,0.3286528474266166
SIG_ATNF_7GENE,SIG_UST_HUB4,4,-0.1046484796932235
SIG_ATNF_7GENE,SIG_UST_MH2,4,0.13109401877784324
SIG_ATNF_7GENE,SIG_VDZ4,1,-0.16110154905335627
SIG_ATNF_7GENE,SIG_VDZ_ANDO7,5,-0.29300438699938675
SIG_ATNF_ARJIS5,SIG_ATNF_OSM1,6,0.6867546378886482
SIG_ATNF_ARJIS5,SIG_CROSS_UC4,6,0.9086675908235387
SIG_ATNF_ARJIS5,SIG_UST4_COEF,5,0.4016494445773205
SIG_ATNF_ARJIS5,SIG_UST_HUB4,5,-0.012273524254821741
SIG_ATNF_ARJIS5,SIG_UST_MH2,5,0.23132670952659262
SIG_ATNF_ARJIS5,SIG_VDZ4,2,-0.0409642514128859
SIG_ATNF_ARJIS5,SIG_VDZ_ANDO7,6,-0.04236029226108842
SIG_ATNF_OSM1,SIG_CROSS_UC4,6,0.6942375406523508
SIG_ATNF_OSM1,SIG_UST4_COEF,5,0.24809040573936733
SIG_ATNF_OSM1,SIG_UST_HUB4,5,0.13471654003506722
SIG_ATNF_OSM1,SIG_UST_MH2,5,0.10286524248253519
SIG_ATNF_OSM1,SIG_VDZ4,2,0.1368101431968391
SIG_ATNF_OSM1,SIG_VDZ_ANDO7,6,-0.07556054597261426
SIG_CROSS_UC4,SIG_UST4_COEF,5,0.4283486888731396
SIG_CROSS_UC4,SIG_UST_HUB4,5,0.03956750438340152
SIG_CROSS_UC4,SIG_UST_MH2,5,0.22259136212624583
SIG_CROSS_UC4,SIG_VDZ4,2,-0.13364028715997467
SIG_CROSS_UC4,SIG_VDZ_ANDO7,6,-0.17645276678607985
SIG_UST4_COEF,SIG_UST_HUB4,5,0.3769777374543599
SIG_UST4_COEF,SIG_UST_MH2,5,0.23953779719657678
SIG_UST4_COEF,SIG_VDZ4,2,0.12052468405788663
SIG_UST4_COEF,SIG_VDZ_ANDO7,5,0.13327933583071783
SIG_UST_HUB4,SIG_UST_MH2,5,0.5505173949880601
SIG_UST_HUB4,SIG_VDZ4,2,0.12653139964052562
SIG_UST_HUB4,SIG_VDZ_ANDO7,5,0.34200668219094865
SIG_UST_MH2,SIG_VDZ4,2,0.12551170089778696
SIG_UST_MH2,SIG_VDZ_ANDO7,5,0.13807263720090618
SIG_VDZ4,SIG_VDZ_ANDO7,2,0.4662599230578398
