signature_id,task_id,dataset_id,trial_id,evaluation_role,lineage_class,same_therapy,same_endpoint,same_disease,n_subjects,n_responder,n_nonresponder,n_signature_genes,n_genes_used,actual_gene_coverage,execution_status,score_definition,auroc,auroc_ci_lower,auroc_ci_upper,average_precision,outcome_prevalence,prevalence_normalized_ap,rank_biserial_separation,permutation_p_value,holm_adjusted_p_value,transport_classification,calibration_status
SIG_ATNF_ARJIS5,T_PURSUIT_CR_W6,GSE92415_PURSUIT,TRIAL_PURSUIT_SC,WITHIN_THERAPY_ENDPOINT_OR_DISEASE_TRANSPORT,INDEPENDENT_TRIAL_OR_COHORT,TRUE,FALSE,TRUE,59,32,27,5,5,1.000,EXECUTED,signed directional z mean,0.658565,0.515046,0.798611,0.709925,0.542373,1.308924,0.317130,,,SUPPORTED_DIRECTION,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_ATNF_ARJIS5,T_PROGECT_MH_W6,GSE212849_PROGECT,TRIAL_PROGECT,SAME_THERAPY_SAME_ENDPOINT_EXTERNAL,INDEPENDENT_TRIAL_OR_COHORT,TRUE,TRUE,TRUE,84,21,63,5,5,1.000,EXECUTED,signed directional z mean,0.648526,0.520011,0.773243,0.356250,0.250000,1.425000,0.297052,0.0425957,0.127787,SUPPORTED_DIRECTION,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_ATNF_ARJIS5,T_EMTAB7604_ER,E-MTAB-7604_ATNF,COHORT_EMTAB7604,WITHIN_THERAPY_ENDPOINT_OR_DISEASE_TRANSPORT,INDEPENDENT_TRIAL_OR_COHORT,TRUE,FALSE,FALSE,43,18,25,5,5,1.000,EXECUTED,signed directional z mean,0.702222,0.535556,0.864444,0.690932,0.418605,1.650559,0.404444,,,SUPPORTED_DIRECTION,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_ATNF_ARJIS5,T_UNITI2_CR_W8,GSE112366_UNITI2_ILEUM,TRIAL_UNITI2,CROSS_THERAPY_TRANSPORT_STRESS_TEST,INDEPENDENT_TRIAL_OR_COHORT,FALSE,FALSE,FALSE,86,48,38,5,5,1.000,EXECUTED,signed directional z mean,0.596491,0.470888,0.718215,0.642449,0.558140,1.151054,0.192982,,,UNCERTAIN_OR_NONTRANSPORTABLE,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_ATNF_ARJIS5,T_UNIFI_MH_W8,GSE206285_UNIFI,TRIAL_UNIFI,CROSS_THERAPY_TRANSPORT_STRESS_TEST,INDEPENDENT_TRIAL_OR_COHORT,FALSE,TRUE,TRUE,358,56,302,5,5,1.000,EXECUTED,signed directional z mean,0.712039,0.643032,0.777092,0.284900,0.156425,1.821323,0.424078,,,SUPPORTED_DIRECTION,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_ATNF_ARJIS5,T_UNIFI_REM_W8,GSE206285_UNIFI,TRIAL_UNIFI,CROSS_THERAPY_TRANSPORT_STRESS_TEST,INDEPENDENT_TRIAL_OR_COHORT,FALSE,FALSE,TRUE,364,49,315,5,5,1.000,EXECUTED,signed directional z mean,0.685002,0.603886,0.760428,0.247963,0.134615,1.842010,0.370003,,,SUPPORTED_DIRECTION,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_ATNF_OSM1,T_PURSUIT_CR_W6,GSE92415_PURSUIT,TRIAL_PURSUIT_SC,WITHIN_THERAPY_ENDPOINT_OR_DISEASE_TRANSPORT,INDEPENDENT_TRIAL_OR_COHORT,TRUE,FALSE,TRUE,59,32,27,1,1,1.000,EXECUTED,signed directional z mean,0.662037,0.519647,0.795139,0.735360,0.542373,1.355820,0.324074,,,SUPPORTED_DIRECTION,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_ATNF_OSM1,T_PROGECT_MH_W6,GSE212849_PROGECT,TRIAL_PROGECT,WITHIN_THERAPY_ENDPOINT_OR_DISEASE_TRANSPORT,INDEPENDENT_TRIAL_OR_COHORT,TRUE,FALSE,TRUE,84,21,63,1,1,1.000,EXECUTED,signed directional z mean,0.553288,0.408163,0.698413,0.301186,0.250000,1.204744,0.106576,,,UNCERTAIN_OR_NONTRANSPORTABLE,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_ATNF_OSM1,T_EMTAB7604_ER,E-MTAB-7604_ATNF,COHORT_EMTAB7604,WITHIN_THERAPY_ENDPOINT_OR_DISEASE_TRANSPORT,INDEPENDENT_TRIAL_OR_COHORT,TRUE,FALSE,TRUE,43,18,25,1,1,1.000,EXECUTED,signed directional z mean,0.728889,0.577722,0.860056,0.665455,0.418605,1.589698,0.457778,,,SUPPORTED_DIRECTION,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_ATNF_OSM1,T_UNITI2_CR_W8,GSE112366_UNITI2_ILEUM,TRIAL_UNITI2,CROSS_THERAPY_TRANSPORT_STRESS_TEST,INDEPENDENT_TRIAL_OR_COHORT,FALSE,FALSE,TRUE,86,48,38,1,1,1.000,EXECUTED,signed directional z mean,0.489035,0.359635,0.608553,0.537764,0.558140,0.963494,-0.021930,,,UNCERTAIN_OR_NONTRANSPORTABLE,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_ATNF_OSM1,T_UNIFI_MH_W8,GSE206285_UNIFI,TRIAL_UNIFI,CROSS_THERAPY_TRANSPORT_STRESS_TEST,INDEPENDENT_TRIAL_OR_COHORT,FALSE,FALSE,TRUE,358,56,302,1,1,1.000,EXECUTED,signed directional z mean,0.640935,0.571743,0.709923,0.222197,0.156425,1.420471,0.281871,,,SUPPORTED_DIRECTION,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_ATNF_OSM1,T_UNIFI_REM_W8,GSE206285_UNIFI,TRIAL_UNIFI,CROSS_THERAPY_TRANSPORT_STRESS_TEST,INDEPENDENT_TRIAL_OR_COHORT,FALSE,FALSE,TRUE,364,49,315,1,1,1.000,EXECUTED,signed directional z mean,0.622902,0.545491,0.694276,0.196967,0.134615,1.463182,0.245805,,,SUPPORTED_DIRECTION,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,GSE92415_PURSUIT,TRIAL_PURSUIT_SC,SAME_THERAPY_SAME_ENDPOINT_EXTERNAL,INDEPENDENT_TRIAL_OR_COHORT,TRUE,TRUE,TRUE,59,32,27,7,7,1.000,EXECUTED,signed directional z mean,0.604167,0.452546,0.739612,0.693134,0.542373,1.277965,0.208333,0.179182,0.179182,UNCERTAIN_OR_NONTRANSPORTABLE,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_ATNF_7GENE,T_PROGECT_MH_W6,GSE212849_PROGECT,TRIAL_PROGECT,WITHIN_THERAPY_ENDPOINT_OR_DISEASE_TRANSPORT,INDEPENDENT_TRIAL_OR_COHORT,TRUE,FALSE,TRUE,84,21,63,7,7,1.000,EXECUTED,signed directional z mean,0.721088,0.607691,0.829176,0.425662,0.250000,1.702648,0.442177,,,SUPPORTED_DIRECTION,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_ATNF_7GENE,T_UNITI2_CR_W8,GSE112366_UNITI2_ILEUM,TRIAL_UNITI2,CROSS_THERAPY_TRANSPORT_STRESS_TEST,INDEPENDENT_TRIAL_OR_COHORT,FALSE,TRUE,TRUE,86,48,38,7,7,1.000,EXECUTED,signed directional z mean,0.529605,0.397396,0.657388,0.586002,0.558140,1.049920,0.059211,,,UNCERTAIN_OR_NONTRANSPORTABLE,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_ATNF_7GENE,T_UNIFI_MH_W8,GSE206285_UNIFI,TRIAL_UNIFI,CROSS_THERAPY_TRANSPORT_STRESS_TEST,INDEPENDENT_TRIAL_OR_COHORT,FALSE,FALSE,TRUE,358,56,302,7,7,1.000,EXECUTED,signed directional z mean,0.709319,0.637828,0.773548,0.288044,0.156425,1.841424,0.418638,,,SUPPORTED_DIRECTION,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_ATNF_7GENE,T_UNIFI_REM_W8,GSE206285_UNIFI,TRIAL_UNIFI,CROSS_THERAPY_TRANSPORT_STRESS_TEST,INDEPENDENT_TRIAL_OR_COHORT,FALSE,FALSE,TRUE,364,49,315,7,7,1.000,EXECUTED,signed directional z mean,0.700292,0.624483,0.775136,0.252756,0.134615,1.877617,0.400583,,,SUPPORTED_DIRECTION,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_VDZ4,T_PROGECT_MH_W6,GSE212849_PROGECT,TRIAL_PROGECT,CROSS_THERAPY_TRANSPORT_STRESS_TEST,INDEPENDENT_TRIAL_OR_COHORT,FALSE,FALSE,TRUE,84,21,63,4,4,1.000,EXECUTED,signed directional z mean,0.408919,0.271334,0.558598,0.238219,0.250000,0.952878,-0.182162,,,UNCERTAIN_OR_NONTRANSPORTABLE,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_VDZ4,T_EMTAB7604_ER,E-MTAB-7604_ATNF,COHORT_EMTAB7604,CROSS_THERAPY_TRANSPORT_STRESS_TEST,INDEPENDENT_TRIAL_OR_COHORT,FALSE,TRUE,FALSE,43,18,25,4,4,1.000,EXECUTED,signed directional z mean,0.491111,0.317778,0.666778,0.395824,0.418605,0.945579,-0.017778,,,UNCERTAIN_OR_NONTRANSPORTABLE,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_VDZ_ANDO7,T_PURSUIT_CR_W6,GSE92415_PURSUIT,TRIAL_PURSUIT_SC,CROSS_THERAPY_TRANSPORT_STRESS_TEST,INDEPENDENT_TRIAL_OR_COHORT,FALSE,FALSE,TRUE,59,32,27,7,7,1.000,EXECUTED,signed directional z mean,0.568287,0.416638,0.716493,0.614135,0.542373,1.132312,0.136574,,,UNCERTAIN_OR_NONTRANSPORTABLE,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_VDZ_ANDO7,T_PROGECT_MH_W6,GSE212849_PROGECT,TRIAL_PROGECT,CROSS_THERAPY_TRANSPORT_STRESS_TEST,INDEPENDENT_TRIAL_OR_COHORT,FALSE,TRUE,TRUE,84,21,63,7,7,1.000,EXECUTED,signed directional z mean,0.445200,0.306104,0.586546,0.243773,0.250000,0.975094,-0.109599,,,UNCERTAIN_OR_NONTRANSPORTABLE,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_VDZ_ANDO7,T_EMTAB7604_ER,E-MTAB-7604_ATNF,COHORT_EMTAB7604,CROSS_THERAPY_TRANSPORT_STRESS_TEST,INDEPENDENT_TRIAL_OR_COHORT,FALSE,FALSE,FALSE,43,18,25,7,7,1.000,EXECUTED,signed directional z mean,0.466667,0.302167,0.653333,0.398018,0.418605,0.950820,-0.066667,,,UNCERTAIN_OR_NONTRANSPORTABLE,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_VDZ_ANDO7,T_UNITI2_CR_W8,GSE112366_UNITI2_ILEUM,TRIAL_UNITI2,CROSS_THERAPY_TRANSPORT_STRESS_TEST,INDEPENDENT_TRIAL_OR_COHORT,FALSE,FALSE,FALSE,86,48,38,7,7,1.000,EXECUTED,signed directional z mean,0.459978,0.335499,0.570724,0.555100,0.558140,0.994555,-0.080044,,,UNCERTAIN_OR_NONTRANSPORTABLE,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_VDZ_ANDO7,T_UNIFI_MH_W8,GSE206285_UNIFI,TRIAL_UNIFI,CROSS_THERAPY_TRANSPORT_STRESS_TEST,INDEPENDENT_TRIAL_OR_COHORT,FALSE,TRUE,TRUE,358,56,302,7,7,1.000,EXECUTED,signed directional z mean,0.468425,0.395336,0.548637,0.148397,0.156425,0.948678,-0.063150,,,UNCERTAIN_OR_NONTRANSPORTABLE,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_VDZ_ANDO7,T_UNIFI_REM_W8,GSE206285_UNIFI,TRIAL_UNIFI,CROSS_THERAPY_TRANSPORT_STRESS_TEST,INDEPENDENT_TRIAL_OR_COHORT,FALSE,FALSE,TRUE,364,49,315,7,7,1.000,EXECUTED,signed directional z mean,0.449822,0.371359,0.534896,0.118769,0.134615,0.882280,-0.100356,,,UNCERTAIN_OR_NONTRANSPORTABLE,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_UST4_COEF,T_PURSUIT_CR_W6,GSE92415_PURSUIT,TRIAL_PURSUIT_SC,CROSS_THERAPY_TRANSPORT_STRESS_TEST,INDEPENDENT_TRIAL_OR_COHORT,FALSE,TRUE,FALSE,59,32,27,4,4,1.000,EXECUTED,published-coefficient L1-weighted z sum,0.587963,0.442072,0.732697,0.675826,0.542373,1.246054,0.175926,,,UNCERTAIN_OR_NONTRANSPORTABLE,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_UST4_COEF,T_PROGECT_MH_W6,GSE212849_PROGECT,TRIAL_PROGECT,CROSS_THERAPY_TRANSPORT_STRESS_TEST,INDEPENDENT_TRIAL_OR_COHORT,FALSE,FALSE,FALSE,84,21,63,4,4,1.000,EXECUTED,published-coefficient L1-weighted z sum,0.619048,0.482937,0.758919,0.328632,0.250000,1.314528,0.238095,,,UNCERTAIN_OR_NONTRANSPORTABLE,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_UST4_COEF,T_EMTAB7604_ER,E-MTAB-7604_ATNF,COHORT_EMTAB7604,CROSS_THERAPY_TRANSPORT_STRESS_TEST,INDEPENDENT_TRIAL_OR_COHORT,FALSE,FALSE,FALSE,43,18,25,4,4,1.000,EXECUTED,published-coefficient L1-weighted z sum,0.462222,0.284333,0.653389,0.414103,0.418605,0.989246,-0.075556,,,UNCERTAIN_OR_NONTRANSPORTABLE,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_UST4_COEF,T_UNIFI_MH_W8,GSE206285_UNIFI,TRIAL_UNIFI,WITHIN_THERAPY_ENDPOINT_OR_DISEASE_TRANSPORT,INDEPENDENT_TRIAL_OR_COHORT,TRUE,FALSE,FALSE,358,56,302,4,4,1.000,EXECUTED,published-coefficient L1-weighted z sum,0.626478,0.548885,0.714311,0.253027,0.156425,1.617564,0.252956,,,SUPPORTED_DIRECTION,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_UST4_COEF,T_UNIFI_REM_W8,GSE206285_UNIFI,TRIAL_UNIFI,WITHIN_THERAPY_ENDPOINT_OR_DISEASE_TRANSPORT,INDEPENDENT_TRIAL_OR_COHORT,TRUE,FALSE,FALSE,364,49,315,4,4,1.000,EXECUTED,published-coefficient L1-weighted z sum,0.683900,0.597078,0.766035,0.277128,0.134615,2.058664,0.367800,,,SUPPORTED_DIRECTION,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_UST_HUB4,T_PURSUIT_CR_W6,GSE92415_PURSUIT,TRIAL_PURSUIT_SC,CROSS_THERAPY_TRANSPORT_STRESS_TEST,INDEPENDENT_TRIAL_OR_COHORT,FALSE,TRUE,FALSE,59,32,27,4,4,1.000,EXECUTED,signed directional z mean,0.562500,0.405093,0.704890,0.644809,0.542373,1.188867,0.125000,,,UNCERTAIN_OR_NONTRANSPORTABLE,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_UST_HUB4,T_PROGECT_MH_W6,GSE212849_PROGECT,TRIAL_PROGECT,CROSS_THERAPY_TRANSPORT_STRESS_TEST,INDEPENDENT_TRIAL_OR_COHORT,FALSE,FALSE,FALSE,84,21,63,4,4,1.000,EXECUTED,signed directional z mean,0.483749,0.332559,0.628893,0.253644,0.250000,1.014576,-0.032502,,,UNCERTAIN_OR_NONTRANSPORTABLE,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_UST_HUB4,T_EMTAB7604_ER,E-MTAB-7604_ATNF,COHORT_EMTAB7604,CROSS_THERAPY_TRANSPORT_STRESS_TEST,INDEPENDENT_TRIAL_OR_COHORT,FALSE,FALSE,FALSE,43,18,25,4,4,1.000,EXECUTED,signed directional z mean,0.613333,0.442167,0.777778,0.603802,0.418605,1.442417,0.226667,,,UNCERTAIN_OR_NONTRANSPORTABLE,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_UST_HUB4,T_UNIFI_MH_W8,GSE206285_UNIFI,TRIAL_UNIFI,WITHIN_THERAPY_ENDPOINT_OR_DISEASE_TRANSPORT,INDEPENDENT_TRIAL_OR_COHORT,TRUE,FALSE,FALSE,358,56,302,4,4,1.000,EXECUTED,signed directional z mean,0.441462,0.355175,0.522614,0.140240,0.156425,0.896532,-0.117077,,,UNCERTAIN_OR_NONTRANSPORTABLE,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_UST_HUB4,T_UNIFI_REM_W8,GSE206285_UNIFI,TRIAL_UNIFI,WITHIN_THERAPY_ENDPOINT_OR_DISEASE_TRANSPORT,INDEPENDENT_TRIAL_OR_COHORT,TRUE,FALSE,FALSE,364,49,315,4,4,1.000,EXECUTED,signed directional z mean,0.489796,0.409360,0.572924,0.136086,0.134615,1.010927,-0.020408,,,UNCERTAIN_OR_NONTRANSPORTABLE,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
SIG_UST_MH2,T_PURSUIT_CR_W6,GSE92415_PURSUIT,TRIAL_PURSUIT_SC,CROSS_THERAPY_TRANSPORT_STRESS_TEST,INDEPENDENT_TRIAL_OR_COHORT,FALSE,FALSE,FALSE,59,32,27,2,2,1.000,EXECUTED,signed directional z mean,0.646991,0.496412,0.782407,0.746321,0.542373,1.376029,0.293981,,,UNCERTAIN_OR_NONTRANSPORTABLE,NOT_APPLICABLE_UNCALIBRATED_PROGRAM_SCORE
