signature_id,context_component,aligned_n,mismatched_n,aligned_median_auroc,mismatched_median_auroc,aligned_minus_mismatched
SIG_ATNF_7GENE,same_therapy,2,3,0.6626274999999999,0.700292,-0.0376645000000001
SIG_ATNF_7GENE,same_endpoint,2,3,0.566886,0.709319,-0.14243300000000003
SIG_ATNF_ARJIS5,same_therapy,3,3,0.658565,0.685002,-0.026437000000000044
SIG_ATNF_ARJIS5,same_endpoint,2,4,0.6802825,0.6717835,0.008499000000000034
SIG_ATNF_ARJIS5,same_disease,4,2,0.6717835,0.6493565,0.022426999999999975
SIG_ATNF_OSM1,same_therapy,3,3,0.662037,0.622902,0.03913500000000003
SIG_CROSS_UC4,same_therapy,3,3,0.668889,0.70379,-0.03490100000000007
SIG_CROSS_UC4,same_endpoint,2,4,0.685828,0.673565,0.012263000000000024
SIG_CROSS_UC4,same_disease,4,2,0.6910155,0.650508,0.04050750000000003
SIG_UST4_COEF,same_therapy,2,3,0.655189,0.587963,0.06722600000000001
SIG_UST4_COEF,same_endpoint,1,4,0.587963,0.622763,-0.03479999999999994
SIG_UST_HUB4,same_therapy,2,3,0.465629,0.5625,-0.09687099999999998
SIG_UST_HUB4,same_endpoint,1,4,0.5625,0.4867725,0.0757275
SIG_UST_MH2,same_therapy,2,3,0.506973,0.584444,-0.07747099999999996
SIG_UST_MH2,same_endpoint,2,3,0.49585100000000004,0.584444,-0.08859299999999992
SIG_VDZ4,same_endpoint,1,1,0.491111,0.408919,0.08219200000000004
SIG_VDZ4,same_disease,1,1,0.408919,0.491111,-0.08219200000000004
SIG_VDZ_ANDO7,same_endpoint,2,4,0.45681249999999995,0.46332249999999997,-0.006510000000000016
SIG_VDZ_ANDO7,same_disease,4,2,0.4591235,0.46332249999999997,-0.004198999999999953
