signature_1,signature_2,n_genes_1,n_genes_2,n_shared_genes,shared_genes,jaccard_similarity,shared_gene_direction_agreement
SIG_ATNF_7GENE,SIG_ATNF_ARJIS5,7,5,1,IL13RA2,0.09090909090909091,1.0
SIG_ATNF_7GENE,SIG_ATNF_OSM1,7,1,0,,0.0,
SIG_ATNF_7GENE,SIG_CROSS_UC4,7,4,0,,0.0,
SIG_ATNF_7GENE,SIG_UST4_COEF,7,4,0,,0.0,
SIG_ATNF_7GENE,SIG_UST_HUB4,7,4,0,,0.0,
SIG_ATNF_7GENE,SIG_UST_MH2,7,2,0,,0.0,
SIG_ATNF_7GENE,SIG_VDZ4,7,4,0,,0.0,
SIG_ATNF_7GENE,SIG_VDZ_ANDO7,7,7,0,,0.0,
SIG_ATNF_ARJIS5,SIG_ATNF_OSM1,5,1,0,,0.0,
SIG_ATNF_ARJIS5,SIG_CROSS_UC4,5,4,1,STC1,0.125,1.0
SIG_ATNF_ARJIS5,SIG_UST4_COEF,5,4,0,,0.0,
SIG_ATNF_ARJIS5,SIG_UST_HUB4,5,4,0,,0.0,
SIG_ATNF_ARJIS5,SIG_UST_MH2,5,2,0,,0.0,
SIG_ATNF_ARJIS5,SIG_VDZ4,5,4,0,,0.0,
SIG_ATNF_ARJIS5,SIG_VDZ_ANDO7,5,7,0,,0.0,
SIG_ATNF_OSM1,SIG_CROSS_UC4,1,4,0,,0.0,
SIG_ATNF_OSM1,SIG_UST4_COEF,1,4,0,,0.0,
SIG_ATNF_OSM1,SIG_UST_HUB4,1,4,0,,0.0,
SIG_ATNF_OSM1,SIG_UST_MH2,1,2,0,,0.0,
SIG_ATNF_OSM1,SIG_VDZ4,1,4,0,,0.0,
SIG_ATNF_OSM1,SIG_VDZ_ANDO7,1,7,0,,0.0,
SIG_CROSS_UC4,SIG_UST4_COEF,4,4,0,,0.0,
SIG_CROSS_UC4,SIG_UST_HUB4,4,4,0,,0.0,
SIG_CROSS_UC4,SIG_UST_MH2,4,2,0,,0.0,
SIG_CROSS_UC4,SIG_VDZ4,4,4,0,,0.0,
SIG_CROSS_UC4,SIG_VDZ_ANDO7,4,7,0,,0.0,
SIG_UST4_COEF,SIG_UST_HUB4,4,4,0,,0.0,
SIG_UST4_COEF,SIG_UST_MH2,4,2,0,,0.0,
SIG_UST4_COEF,SIG_VDZ4,4,4,0,,0.0,
SIG_UST4_COEF,SIG_VDZ_ANDO7,4,7,0,,0.0,
SIG_UST_HUB4,SIG_UST_MH2,4,2,1,LCN2,0.2,1.0
SIG_UST_HUB4,SIG_VDZ4,4,4,0,,0.0,
SIG_UST_HUB4,SIG_VDZ_ANDO7,4,7,0,,0.0,
SIG_UST_MH2,SIG_VDZ4,2,4,0,,0.0,
SIG_UST_MH2,SIG_VDZ_ANDO7,2,7,0,,0.0,
SIG_VDZ4,SIG_VDZ_ANDO7,4,7,0,,0.0,
