correlation_type,signature_1,signature_2,n_shared_tasks,spearman_rho
subject_score,SIG_ATNF_7GENE,SIG_ATNF_ARJIS5,5,0.7562215247544801
subject_score,SIG_ATNF_7GENE,SIG_ATNF_OSM1,5,0.48404441846873175
subject_score,SIG_ATNF_7GENE,SIG_CROSS_UC4,5,0.792811582464311
subject_score,SIG_ATNF_7GENE,SIG_UST4_COEF,4,0.3286528474266166
subject_score,SIG_ATNF_7GENE,SIG_UST_HUB4,4,-0.1046484796932235
subject_score,SIG_ATNF_7GENE,SIG_UST_MH2,4,0.13109401877784324
subject_score,SIG_ATNF_7GENE,SIG_VDZ4,1,-0.16110154905335627
subject_score,SIG_ATNF_7GENE,SIG_VDZ_ANDO7,5,-0.29300438699938675
subject_score,SIG_ATNF_ARJIS5,SIG_ATNF_OSM1,6,0.6867546378886482
subject_score,SIG_ATNF_ARJIS5,SIG_CROSS_UC4,6,0.9086675908235387
subject_score,SIG_ATNF_ARJIS5,SIG_UST4_COEF,5,0.4016494445773205
subject_score,SIG_ATNF_ARJIS5,SIG_UST_HUB4,5,-0.012273524254821741
subject_score,SIG_ATNF_ARJIS5,SIG_UST_MH2,5,0.23132670952659262
subject_score,SIG_ATNF_ARJIS5,SIG_VDZ4,2,-0.0409642514128859
subject_score,SIG_ATNF_ARJIS5,SIG_VDZ_ANDO7,6,-0.04236029226108842
subject_score,SIG_ATNF_OSM1,SIG_CROSS_UC4,6,0.6942375406523508
subject_score,SIG_ATNF_OSM1,SIG_UST4_COEF,5,0.24809040573936733
subject_score,SIG_ATNF_OSM1,SIG_UST_HUB4,5,0.13471654003506722
subject_score,SIG_ATNF_OSM1,SIG_UST_MH2,5,0.10286524248253519
subject_score,SIG_ATNF_OSM1,SIG_VDZ4,2,0.1368101431968391
subject_score,SIG_ATNF_OSM1,SIG_VDZ_ANDO7,6,-0.07556054597261426
subject_score,SIG_CROSS_UC4,SIG_UST4_COEF,5,0.4283486888731396
subject_score,SIG_CROSS_UC4,SIG_UST_HUB4,5,0.03956750438340152
subject_score,SIG_CROSS_UC4,SIG_UST_MH2,5,0.22259136212624583
subject_score,SIG_CROSS_UC4,SIG_VDZ4,2,-0.13364028715997467
subject_score,SIG_CROSS_UC4,SIG_VDZ_ANDO7,6,-0.17645276678607985
subject_score,SIG_UST4_COEF,SIG_UST_HUB4,5,0.3769777374543599
subject_score,SIG_UST4_COEF,SIG_UST_MH2,5,0.23953779719657678
subject_score,SIG_UST4_COEF,SIG_VDZ4,2,0.12052468405788663
subject_score,SIG_UST4_COEF,SIG_VDZ_ANDO7,5,0.13327933583071783
subject_score,SIG_UST_HUB4,SIG_UST_MH2,5,0.5505173949880601
subject_score,SIG_UST_HUB4,SIG_VDZ4,2,0.12653139964052562
subject_score,SIG_UST_HUB4,SIG_VDZ_ANDO7,5,0.34200668219094865
subject_score,SIG_UST_MH2,SIG_VDZ4,2,0.12551170089778696
subject_score,SIG_UST_MH2,SIG_VDZ_ANDO7,5,0.13807263720090618
subject_score,SIG_VDZ4,SIG_VDZ_ANDO7,2,0.4662599230578398
performance_profile,SIG_ATNF_7GENE,SIG_ATNF_ARJIS5,5,0.39999999999999997
performance_profile,SIG_ATNF_7GENE,SIG_ATNF_OSM1,5,0.09999999999999999
performance_profile,SIG_ATNF_7GENE,SIG_CROSS_UC4,5,0.39999999999999997
performance_profile,SIG_ATNF_7GENE,SIG_UST4_COEF,4,0.19999999999999998
performance_profile,SIG_ATNF_7GENE,SIG_UST_HUB4,4,-0.7999999999999999
performance_profile,SIG_ATNF_7GENE,SIG_UST_MH2,4,-0.7999999999999999
performance_profile,SIG_ATNF_7GENE,SIG_VDZ4,1,
performance_profile,SIG_ATNF_7GENE,SIG_VDZ_ANDO7,5,-0.49999999999999994
performance_profile,SIG_ATNF_ARJIS5,SIG_ATNF_OSM1,6,0.7142857142857143
performance_profile,SIG_ATNF_ARJIS5,SIG_CROSS_UC4,6,0.8285714285714287
performance_profile,SIG_ATNF_ARJIS5,SIG_UST4_COEF,5,0.09999999999999999
performance_profile,SIG_ATNF_ARJIS5,SIG_UST_HUB4,5,-0.09999999999999999
performance_profile,SIG_ATNF_ARJIS5,SIG_UST_MH2,5,-0.3
performance_profile,SIG_ATNF_ARJIS5,SIG_VDZ4,2,
performance_profile,SIG_ATNF_ARJIS5,SIG_VDZ_ANDO7,6,0.4285714285714286
performance_profile,SIG_ATNF_OSM1,SIG_CROSS_UC4,6,0.48571428571428577
performance_profile,SIG_ATNF_OSM1,SIG_UST4_COEF,5,-0.7
performance_profile,SIG_ATNF_OSM1,SIG_UST_HUB4,5,0.7
performance_profile,SIG_ATNF_OSM1,SIG_UST_MH2,5,0.6
performance_profile,SIG_ATNF_OSM1,SIG_VDZ4,2,
performance_profile,SIG_ATNF_OSM1,SIG_VDZ_ANDO7,6,0.6571428571428573
performance_profile,SIG_CROSS_UC4,SIG_UST4_COEF,5,0.6
performance_profile,SIG_CROSS_UC4,SIG_UST_HUB4,5,-0.39999999999999997
performance_profile,SIG_CROSS_UC4,SIG_UST_MH2,5,-0.3
performance_profile,SIG_CROSS_UC4,SIG_VDZ4,2,
performance_profile,SIG_CROSS_UC4,SIG_VDZ_ANDO7,6,0.4285714285714286
performance_profile,SIG_UST4_COEF,SIG_UST_HUB4,5,-0.7
performance_profile,SIG_UST4_COEF,SIG_UST_MH2,5,-0.6
performance_profile,SIG_UST4_COEF,SIG_VDZ4,2,
performance_profile,SIG_UST4_COEF,SIG_VDZ_ANDO7,5,-0.3
performance_profile,SIG_UST_HUB4,SIG_UST_MH2,5,0.8999999999999998
performance_profile,SIG_UST_HUB4,SIG_VDZ4,2,
performance_profile,SIG_UST_HUB4,SIG_VDZ_ANDO7,5,0.19999999999999998
performance_profile,SIG_UST_MH2,SIG_VDZ4,2,
performance_profile,SIG_UST_MH2,SIG_VDZ_ANDO7,5,0.39999999999999997
performance_profile,SIG_VDZ4,SIG_VDZ_ANDO7,2,
