record_type,item,value,value_2
endpoint_summary,overlapping_subjects,358,
endpoint_summary,raw_agreement,0.9441340782122905,
endpoint_summary,cohen_kappa,0.771712791735748,
endpoint_summary,mucosal_healing_prevalence,0.1564245810055866,
endpoint_summary,clinical_remission_prevalence,0.12849162011173185,
endpoint_contingency,MH=0;CR=0,297,
endpoint_contingency,MH=0;CR=1,5,
endpoint_contingency,MH=1;CR=0,15,
endpoint_contingency,MH=1;CR=1,41,
paired_program_auroc,SIG_ATNF_7GENE,0.709319,0.700292
paired_program_auroc,SIG_ATNF_ARJIS5,0.712039,0.685002
paired_program_auroc,SIG_ATNF_OSM1,0.640935,0.622902
paired_program_auroc,SIG_CROSS_UC4,0.721618,0.70379
paired_program_auroc,SIG_UST4_COEF,0.626478,0.6839
paired_program_auroc,SIG_UST_HUB4,0.441462,0.489796
paired_program_auroc,SIG_UST_MH2,0.485277,0.528669
paired_program_auroc,SIG_VDZ_ANDO7,0.468425,0.449822
