signature_id,task_id,dataset_id,omitted_gene,n_genes_full,n_genes_retained,full_auroc,leave_one_gene_out_auroc,delta_auroc,direction_retained
SIG_ATNF_7GENE,T_PROGECT_MH_W6,GSE212849_PROGECT,WNK2,7,6,0.7210884353741497,0.72713529856387,0.006046863189720364,True
SIG_ATNF_7GENE,T_PROGECT_MH_W6,GSE212849_PROGECT,OCRL,7,6,0.7210884353741497,0.7256235827664399,0.0045351473922902175,True
SIG_ATNF_7GENE,T_PROGECT_MH_W6,GSE212849_PROGECT,ASB7,7,6,0.7210884353741497,0.7180650037792895,-0.003023431594860182,True
SIG_ATNF_7GENE,T_PROGECT_MH_W6,GSE212849_PROGECT,PCBP3,7,6,0.7210884353741497,0.709750566893424,-0.01133786848072571,True
SIG_ATNF_7GENE,T_PROGECT_MH_W6,GSE212849_PROGECT,AMPD2,7,6,0.7210884353741497,0.7195767195767195,-0.0015117157974301465,True
SIG_ATNF_7GENE,T_PROGECT_MH_W6,GSE212849_PROGECT,FAM155A,7,6,0.7210884353741497,0.7195767195767195,-0.0015117157974301465,True
SIG_ATNF_7GENE,T_PROGECT_MH_W6,GSE212849_PROGECT,IL13RA2,7,6,0.7210884353741497,0.7203325774754346,-0.0007558578987151288,True
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,GSE92415_PURSUIT,WNK2,7,6,0.6041666666666666,0.579861111111111,-0.02430555555555558,True
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,GSE92415_PURSUIT,OCRL,7,6,0.6041666666666666,0.607638888888889,0.003472222222222321,True
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,GSE92415_PURSUIT,ASB7,7,6,0.6041666666666666,0.6168981481481481,0.01273148148148151,True
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,GSE92415_PURSUIT,PCBP3,7,6,0.6041666666666666,0.6064814814814815,0.0023148148148148806,True
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,GSE92415_PURSUIT,AMPD2,7,6,0.6041666666666666,0.6215277777777779,0.01736111111111127,True
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,GSE92415_PURSUIT,FAM155A,7,6,0.6041666666666666,0.5902777777777778,-0.01388888888888884,True
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,GSE92415_PURSUIT,IL13RA2,7,6,0.6041666666666666,0.6041666666666666,0.0,True
SIG_ATNF_7GENE,T_UNIFI_MH_W8,GSE206285_UNIFI,WNK2,7,6,0.7093188268684957,0.6820009460737937,-0.027317880794701987,True
SIG_ATNF_7GENE,T_UNIFI_MH_W8,GSE206285_UNIFI,OCRL,7,6,0.7093188268684957,0.7165326395458846,0.007213812677388964,True
SIG_ATNF_7GENE,T_UNIFI_MH_W8,GSE206285_UNIFI,ASB7,7,6,0.7093188268684957,0.7203760643330179,0.011057237464522252,True
SIG_ATNF_7GENE,T_UNIFI_MH_W8,GSE206285_UNIFI,PCBP3,7,6,0.7093188268684957,0.7267029328287608,0.017384105960265073,True
SIG_ATNF_7GENE,T_UNIFI_MH_W8,GSE206285_UNIFI,AMPD2,7,6,0.7093188268684957,0.7000946073793756,-0.009224219489120111,True
SIG_ATNF_7GENE,T_UNIFI_MH_W8,GSE206285_UNIFI,FAM155A,7,6,0.7093188268684957,0.6938859981078525,-0.015432828760643225,True
SIG_ATNF_7GENE,T_UNIFI_MH_W8,GSE206285_UNIFI,IL13RA2,7,6,0.7093188268684957,0.6990302743614002,-0.010288552507095483,True
SIG_ATNF_7GENE,T_UNIFI_REM_W8,GSE206285_UNIFI,WNK2,7,6,0.7002915451895043,0.6758665370910268,-0.024425008098477474,True
SIG_ATNF_7GENE,T_UNIFI_REM_W8,GSE206285_UNIFI,OCRL,7,6,0.7002915451895043,0.703725299643667,0.0034337544541627185,True
SIG_ATNF_7GENE,T_UNIFI_REM_W8,GSE206285_UNIFI,ASB7,7,6,0.7002915451895043,0.7108519598315517,0.010560414642047378,True
