task_id,dataset_id,endpoint_original_text,endpoint_family,time_from_treatment_start,clinical_instrument,threshold,endoscopic_instrument,histology_instrument,biomarker_threshold,central_or_local_reading,composite_endpoint,placebo_adjusted,verified_source,harmonization_class,notes
T_ACT1_MH_W8,GSE12251_ACT1_MH,WK8RSPHM; complete mucosal healing with endoscopic/histologic components,MUCOSAL_HEALING,week 8,Mayo for UC; CDAI for CD where applicable,study-specific; see notes,Mayo endoscopic subscore or SES-CD where applicable,only ACT1 strict healing explicitly includes histology,not applicable,not consistently public,dataset-specific,no; active arm tasks only,"Arijs et al., Gut 2009 / ACT1 biomarker subset; repository metadata",BROADLY_COMPARABLE,exact sample subset of GSE23597
T_ACT1_CR_W8,GSE23597_ACT1,wk8 response,INDUCTION_CLINICAL_RESPONSE,week 8,Mayo for UC; CDAI for CD where applicable,study-specific; see notes,Mayo endoscopic subscore or SES-CD where applicable,only ACT1 strict healing explicitly includes histology,not applicable,not consistently public,dataset-specific,no; active arm tasks only,"Toedter et al., ACT1 pharmacogenomic analysis; repository metadata",BROADLY_COMPARABLE,unique active subjects; technical duplicate removed
T_ACT1_CR_W30,GSE23597_ACT1,wk30 response,INDUCTION_CLINICAL_RESPONSE,week 30,Mayo for UC; CDAI for CD where applicable,study-specific; see notes,Mayo endoscopic subscore or SES-CD where applicable,only ACT1 strict healing explicitly includes histology,not applicable,not consistently public,dataset-specific,no; active arm tasks only,"Toedter et al., ACT1 pharmacogenomic analysis; repository metadata",BROADLY_COMPARABLE,longer induction/maintenance response; unique active subjects
T_ARJIS_UC_MH,GSE16879_UC_CD,MUCOSAL_HEALING,MUCOSAL_HEALING,week 4-6,Mayo for UC; CDAI for CD where applicable,study-specific; see notes,Mayo endoscopic subscore or SES-CD where applicable,only ACT1 strict healing explicitly includes histology,not applicable,not consistently public,dataset-specific,no; active arm tasks only,"Arijs et al., Gut 2009 and PLoS One 2009; repository metadata",BROADLY_COMPARABLE,same UC subjects as GSE14580
T_ARJIS_CDC_ER,GSE16879_UC_CD,ENDOSCOPIC_RESPONSE,ENDOSCOPIC_RESPONSE,week 4-6,Mayo for UC; CDAI for CD where applicable,study-specific; see notes,Mayo endoscopic subscore or SES-CD where applicable,only ACT1 strict healing explicitly includes histology,not applicable,not consistently public,dataset-specific,no; active arm tasks only,"Arijs et al., Gut 2009 and PLoS One 2009; repository metadata",BROADLY_COMPARABLE,colon-only CD stratum
T_GSE73661_IFX_MH,GSE73661_IFX,MUCOSAL_HEALING,MUCOSAL_HEALING,week 4-6,Mayo for UC; CDAI for CD where applicable,study-specific; see notes,Mayo endoscopic subscore or SES-CD where applicable,only ACT1 strict healing explicitly includes histology,not applicable,not consistently public,dataset-specific,no; active arm tasks only,"Arijs et al., Gut 2018; repository metadata",EXACTLY_HARMONIZED,possible older Leuven biobank overlap unknown
T_PURSUIT_CR_W6,GSE92415_PURSUIT,INDUCTION_CLINICAL_RESPONSE,INDUCTION_CLINICAL_RESPONSE,week 6,Mayo for UC; CDAI for CD where applicable,study-specific; see notes,Mayo endoscopic subscore or SES-CD where applicable,only ACT1 strict healing explicitly includes histology,not applicable,not consistently public,dataset-specific,no; active arm tasks only,PURSUIT-SC mucosal transcriptomics; repository metadata,BROADLY_COMPARABLE,active golimumab only
T_PROGECT_MH_W6,GSE212849_PROGECT,mucosal healing at week 6,MUCOSAL_HEALING,week 6,Mayo for UC; CDAI for CD where applicable,study-specific; see notes,Mayo endoscopic subscore or SES-CD where applicable,only ACT1 strict healing explicitly includes histology,not applicable,not consistently public,dataset-specific,no; active arm tasks only,"Telesco et al., Gastroenterology 2018; repository metadata",EXACTLY_HARMONIZED,prospective MPS evaluation
T_PROGECT_REM_W6,GSE212849_PROGECT,INDUCTION_CLINICAL_REMISSION,INDUCTION_CLINICAL_REMISSION,week 6,Mayo for UC; CDAI for CD where applicable,study-specific; see notes,Mayo endoscopic subscore or SES-CD where applicable,only ACT1 strict healing explicitly includes histology,not applicable,not consistently public,dataset-specific,no; active arm tasks only,"Telesco et al., Gastroenterology 2018; repository metadata",BROADLY_COMPARABLE,separate endpoint
T_EMTAB7604_ER,E-MTAB-7604_ATNF,ENDOSCOPIC_REMISSION,ENDOSCOPIC_REMISSION,week 10 UC / week 24 CD,Mayo for UC; CDAI for CD where applicable,study-specific; see notes,Mayo endoscopic subscore or SES-CD where applicable,only ACT1 strict healing explicitly includes histology,not applicable,not consistently public,dataset-specific,no; active arm tasks only,"Verstockt et al., EBioMedicine 2019; repository metadata",BROADLY_COMPARABLE,SDRF cannot identify UC vs CD per sample
T_GEMINI_MH_W6,GSE73661_VDZ,Mayo endoscopic subscore 0 or 1,MUCOSAL_HEALING,week 6,Mayo for UC; CDAI for CD where applicable,study-specific; see notes,Mayo endoscopic subscore or SES-CD where applicable,only ACT1 strict healing explicitly includes histology,not applicable,not consistently public,dataset-specific,no; active arm tasks only,"Arijs et al., Gut 2018; repository metadata",EXACTLY_HARMONIZED,27 subjects with matched endpoint
