signature_id,task_id,replicates,probability_auc_gt_0_5,phase3_bootstrap_ci_lower,phase3_bootstrap_ci_upper
SIG_ATNF_7GENE,T_PROGECT_MH_W6,2000,1.0,0.615249433106576,0.8269085411942555
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,2000,0.917,0.4606481481481482,0.7372974537037036
SIG_ATNF_7GENE,T_UNIFI_MH_W8,2000,1.0,0.638935371333964,0.7777909176915799
SIG_ATNF_7GENE,T_UNIFI_REM_W8,2000,1.0,0.625262390670554,0.7708503401360544
SIG_ATNF_7GENE,T_UNITI2_CR_W8,2000,0.6765,0.4073464912280702,0.65078125
SIG_ATNF_ARJIS5,T_EMTAB7604_ER,2000,0.9895,0.5377222222222222,0.8556111111111109
SIG_ATNF_ARJIS5,T_PROGECT_MH_W6,2000,0.9885,0.5222978080120937,0.7679705215419499
SIG_ATNF_ARJIS5,T_PURSUIT_CR_W6,2000,0.984,0.513888888888889,0.7963252314814814
SIG_ATNF_ARJIS5,T_UNIFI_MH_W8,2000,1.0,0.6401903973509933,0.773950449385052
SIG_ATNF_ARJIS5,T_UNIFI_REM_W8,2000,1.0,0.6053109815354714,0.7647003563330095
SIG_ATNF_ARJIS5,T_UNITI2_CR_W8,2000,0.9405,0.47802905701754383,0.712171052631579
SIG_ATNF_OSM1,T_EMTAB7604_ER,2000,0.995,0.5732777777777777,0.8644444444444445
SIG_ATNF_OSM1,T_PROGECT_MH_W6,2000,0.7575,0.4013416477702192,0.7029478458049887
SIG_ATNF_OSM1,T_PURSUIT_CR_W6,2000,0.9885,0.5219907407407407,0.7997685185185185
SIG_ATNF_OSM1,T_UNIFI_MH_W8,2000,1.0,0.5713546594134342,0.7073261589403973
SIG_ATNF_OSM1,T_UNIFI_REM_W8,2000,0.999,0.5497845804988662,0.6960309361839974
SIG_ATNF_OSM1,T_UNITI2_CR_W8,2000,0.4375,0.35964912280701755,0.6195175438596491
SIG_CROSS_UC4,T_EMTAB7604_ER,2000,0.9705,0.4955,0.8311111111111111
SIG_CROSS_UC4,T_PROGECT_MH_W6,2000,0.9895,0.5185185185185185,0.767214663643235
SIG_CROSS_UC4,T_PURSUIT_CR_W6,2000,0.9925,0.5393518518518519,0.8078993055555554
SIG_CROSS_UC4,T_UNIFI_MH_W8,2000,1.0,0.6539646404919585,0.7887328524124881
SIG_CROSS_UC4,T_UNIFI_REM_W8,2000,1.0,0.6262989957887917,0.7760981535471331
SIG_CROSS_UC4,T_UNITI2_CR_W8,2000,0.982,0.511513157894737,0.7428728070175439
SIG_UST4_COEF,T_EMTAB7604_ER,2000,0.322,0.2755,0.6311111111111111
SIG_UST4_COEF,T_PROGECT_MH_W6,2000,0.9525,0.47845804988662133,0.7558578987150416
SIG_UST4_COEF,T_PURSUIT_CR_W6,2000,0.8845,0.44904513888888886,0.7361689814814812
SIG_UST4_COEF,T_UNIFI_MH_W8,2000,0.999,0.541189687795648,0.7097918637653737
SIG_UST4_COEF,T_UNIFI_REM_W8,2000,1.0,0.601465824425008,0.7654097829608033
SIG_UST_HUB4,T_EMTAB7604_ER,2000,0.9045,0.4354444444444444,0.7800555555555553
SIG_UST_HUB4,T_PROGECT_MH_W6,2000,0.4105,0.3461829176114891,0.6281368102796673
SIG_UST_HUB4,T_PURSUIT_CR_W6,2000,0.798,0.4050925925925926,0.7060185185185185
SIG_UST_HUB4,T_UNIFI_MH_W8,2000,0.0755,0.36386737228003785,0.5195837275307473
SIG_UST_HUB4,T_UNIFI_REM_W8,2000,0.3935,0.40762552640103655,0.5714285714285714
SIG_UST_MH2,T_EMTAB7604_ER,2000,0.833,0.4177777777777778,0.7577777777777777
SIG_UST_MH2,T_PROGECT_MH_W6,2000,0.5375,0.36583522297808013,0.658371126228269
SIG_UST_MH2,T_PURSUIT_CR_W6,2000,0.9805,0.5092303240740741,0.7801215277777777
SIG_UST_MH2,T_UNIFI_MH_W8,2000,0.3635,0.40450271996215703,0.5636293755912961
SIG_UST_MH2,T_UNIFI_REM_W8,2000,0.7385,0.446386459345643,0.6092031098153546
SIG_VDZ4,T_EMTAB7604_ER,2000,0.4495,0.31777777777777777,0.6822222222222222
SIG_VDZ4,T_PROGECT_MH_W6,2000,0.1115,0.27133408919123203,0.5533068783068782
SIG_VDZ_ANDO7,T_EMTAB7604_ER,2000,0.338,0.2911111111111111,0.6511111111111111
SIG_VDZ_ANDO7,T_PROGECT_MH_W6,2000,0.218,0.308390022675737,0.5910808767951625
SIG_VDZ_ANDO7,T_PURSUIT_CR_W6,2000,0.8125,0.4178240740740741,0.7106481481481481
SIG_VDZ_ANDO7,T_UNIFI_MH_W8,2000,0.2255,0.38651844843897826,0.5497915681173131
SIG_VDZ_ANDO7,T_UNIFI_REM_W8,2000,0.1215,0.36791869128603816,0.5334029802397149
SIG_VDZ_ANDO7,T_UNITI2_CR_W8,2000,0.265,0.33277138157894737,0.582250548245614
