signature_id,task_id,dataset_id,pattern_index,sign_pattern,is_published_orientation,auroc
SIG_ATNF_7GENE,T_PROGECT_MH_W6,GSE212849_PROGECT,0,WNK2:-1;OCRL:-1;ASB7:-1;PCBP3:-1;AMPD2:-1;FAM155A:-1;IL13RA2:-1,False,0.5880574452003023
SIG_ATNF_7GENE,T_PROGECT_MH_W6,GSE212849_PROGECT,1,WNK2:-1;OCRL:-1;ASB7:-1;PCBP3:-1;AMPD2:-1;FAM155A:-1;IL13RA2:+1,False,0.41043083900226757
SIG_ATNF_7GENE,T_PROGECT_MH_W6,GSE212849_PROGECT,2,WNK2:-1;OCRL:-1;ASB7:-1;PCBP3:-1;AMPD2:-1;FAM155A:+1;IL13RA2:-1,False,0.41572184429327275
SIG_ATNF_7GENE,T_PROGECT_MH_W6,GSE212849_PROGECT,3,WNK2:-1;OCRL:-1;ASB7:-1;PCBP3:-1;AMPD2:-1;FAM155A:+1;IL13RA2:+1,False,0.33257747543461824
SIG_ATNF_7GENE,T_PROGECT_MH_W6,GSE212849_PROGECT,4,WNK2:-1;OCRL:-1;ASB7:-1;PCBP3:-1;AMPD2:+1;FAM155A:-1;IL13RA2:-1,False,0.41421012849584277
SIG_ATNF_7GENE,T_PROGECT_MH_W6,GSE212849_PROGECT,5,WNK2:-1;OCRL:-1;ASB7:-1;PCBP3:-1;AMPD2:+1;FAM155A:-1;IL13RA2:+1,False,0.34542705971277404
SIG_ATNF_7GENE,T_PROGECT_MH_W6,GSE212849_PROGECT,6,WNK2:-1;OCRL:-1;ASB7:-1;PCBP3:-1;AMPD2:+1;FAM155A:+1;IL13RA2:-1,False,0.3431594860166288
SIG_ATNF_7GENE,T_PROGECT_MH_W6,GSE212849_PROGECT,7,WNK2:-1;OCRL:-1;ASB7:-1;PCBP3:-1;AMPD2:+1;FAM155A:+1;IL13RA2:+1,False,0.3159486016628874
SIG_ATNF_7GENE,T_PROGECT_MH_W6,GSE212849_PROGECT,8,WNK2:-1;OCRL:-1;ASB7:-1;PCBP3:+1;AMPD2:-1;FAM155A:-1;IL13RA2:-1,False,0.38548752834467115
SIG_ATNF_7GENE,T_PROGECT_MH_W6,GSE212849_PROGECT,9,WNK2:-1;OCRL:-1;ASB7:-1;PCBP3:+1;AMPD2:-1;FAM155A:-1;IL13RA2:+1,False,0.3204837490551776
