signature_1,signature_2,n_shared_tasks,performance_profile_spearman_rho
SIG_ATNF_7GENE,SIG_ATNF_ARJIS5,5,0.39999999999999997
SIG_ATNF_7GENE,SIG_ATNF_OSM1,5,0.09999999999999999
SIG_ATNF_7GENE,SIG_CROSS_UC4,5,0.39999999999999997
SIG_ATNF_7GENE,SIG_UST4_COEF,4,0.19999999999999998
SIG_ATNF_7GENE,SIG_UST_HUB4,4,-0.7999999999999999
SIG_ATNF_7GENE,SIG_UST_MH2,4,-0.7999999999999999
SIG_ATNF_7GENE,SIG_VDZ4,1,
SIG_ATNF_7GENE,SIG_VDZ_ANDO7,5,-0.49999999999999994
SIG_ATNF_ARJIS5,SIG_ATNF_OSM1,6,0.7142857142857143
SIG_ATNF_ARJIS5,SIG_CROSS_UC4,6,0.8285714285714287
SIG_ATNF_ARJIS5,SIG_UST4_COEF,5,0.09999999999999999
SIG_ATNF_ARJIS5,SIG_UST_HUB4,5,-0.09999999999999999
SIG_ATNF_ARJIS5,SIG_UST_MH2,5,-0.3
SIG_ATNF_ARJIS5,SIG_VDZ4,2,
SIG_ATNF_ARJIS5,SIG_VDZ_ANDO7,6,0.4285714285714286
SIG_ATNF_OSM1,SIG_CROSS_UC4,6,0.48571428571428577
SIG_ATNF_OSM1,SIG_UST4_COEF,5,-0.7
SIG_ATNF_OSM1,SIG_UST_HUB4,5,0.7
SIG_ATNF_OSM1,SIG_UST_MH2,5,0.6
SIG_ATNF_OSM1,SIG_VDZ4,2,
SIG_ATNF_OSM1,SIG_VDZ_ANDO7,6,0.6571428571428573
SIG_CROSS_UC4,SIG_UST4_COEF,5,0.6
SIG_CROSS_UC4,SIG_UST_HUB4,5,-0.39999999999999997
SIG_CROSS_UC4,SIG_UST_MH2,5,-0.3
SIG_CROSS_UC4,SIG_VDZ4,2,
SIG_CROSS_UC4,SIG_VDZ_ANDO7,6,0.4285714285714286
SIG_UST4_COEF,SIG_UST_HUB4,5,-0.7
SIG_UST4_COEF,SIG_UST_MH2,5,-0.6
SIG_UST4_COEF,SIG_VDZ4,2,
SIG_UST4_COEF,SIG_VDZ_ANDO7,5,-0.3
SIG_UST_HUB4,SIG_UST_MH2,5,0.8999999999999998
SIG_UST_HUB4,SIG_VDZ4,2,
SIG_UST_HUB4,SIG_VDZ_ANDO7,5,0.19999999999999998
SIG_UST_MH2,SIG_VDZ4,2,
SIG_UST_MH2,SIG_VDZ_ANDO7,5,0.39999999999999997
SIG_VDZ4,SIG_VDZ_ANDO7,2,
