task_id,signature_1,signature_2,n_subjects,spearman_rho
T_EMTAB7604_ER,SIG_ATNF_ARJIS5,SIG_ATNF_OSM1,43,0.7875264270613108
T_EMTAB7604_ER,SIG_ATNF_ARJIS5,SIG_CROSS_UC4,43,0.9241920869827847
T_EMTAB7604_ER,SIG_ATNF_ARJIS5,SIG_UST4_COEF,43,-0.1421020839625491
T_EMTAB7604_ER,SIG_ATNF_ARJIS5,SIG_UST_HUB4,43,0.5016611295681063
T_EMTAB7604_ER,SIG_ATNF_ARJIS5,SIG_UST_MH2,43,0.3122923588039867
T_EMTAB7604_ER,SIG_ATNF_ARJIS5,SIG_VDZ4,43,-0.12307459981878587
T_EMTAB7604_ER,SIG_ATNF_ARJIS5,SIG_VDZ_ANDO7,43,-0.22908486861975233
T_EMTAB7604_ER,SIG_ATNF_OSM1,SIG_CROSS_UC4,43,0.7571730594986409
T_EMTAB7604_ER,SIG_ATNF_OSM1,SIG_UST4_COEF,43,-0.14965267290848686
T_EMTAB7604_ER,SIG_ATNF_OSM1,SIG_UST_HUB4,43,0.5439444276653579
T_EMTAB7604_ER,SIG_ATNF_OSM1,SIG_UST_MH2,43,0.39217758985200846
T_EMTAB7604_ER,SIG_ATNF_OSM1,SIG_VDZ4,43,0.04379341588643914
T_EMTAB7604_ER,SIG_ATNF_OSM1,SIG_VDZ_ANDO7,43,-0.13953488372093023
T_EMTAB7604_ER,SIG_CROSS_UC4,SIG_UST4_COEF,43,-0.02476593174267593
T_EMTAB7604_ER,SIG_CROSS_UC4,SIG_UST_HUB4,43,0.3554817275747508
T_EMTAB7604_ER,SIG_CROSS_UC4,SIG_UST_MH2,43,0.22259136212624583
T_EMTAB7604_ER,SIG_CROSS_UC4,SIG_VDZ4,43,-0.2691029900332226
T_EMTAB7604_ER,SIG_CROSS_UC4,SIG_VDZ_ANDO7,43,-0.46602234974328
T_EMTAB7604_ER,SIG_UST4_COEF,SIG_UST_HUB4,43,-0.35170643310178196
T_EMTAB7604_ER,SIG_UST4_COEF,SIG_UST_MH2,43,0.10842645726366656
T_EMTAB7604_ER,SIG_UST4_COEF,SIG_VDZ4,43,0.1188462700090607
T_EMTAB7604_ER,SIG_UST4_COEF,SIG_VDZ_ANDO7,43,-0.07580791301721534
T_EMTAB7604_ER,SIG_UST_HUB4,SIG_UST_MH2,43,0.6874056176381758
T_EMTAB7604_ER,SIG_UST_HUB4,SIG_VDZ4,43,-0.032165508909694954
T_EMTAB7604_ER,SIG_UST_HUB4,SIG_VDZ_ANDO7,43,0.14346118997281787
T_EMTAB7604_ER,SIG_UST_MH2,SIG_VDZ4,43,0.132890365448505
T_EMTAB7604_ER,SIG_UST_MH2,SIG_VDZ_ANDO7,43,0.1543340380549683
T_EMTAB7604_ER,SIG_VDZ4,SIG_VDZ_ANDO7,43,0.5732407127755965
T_PROGECT_MH_W6,SIG_ATNF_7GENE,SIG_ATNF_ARJIS5,84,0.7562215247544801
T_PROGECT_MH_W6,SIG_ATNF_7GENE,SIG_ATNF_OSM1,84,0.36243798724309
T_PROGECT_MH_W6,SIG_ATNF_7GENE,SIG_CROSS_UC4,84,0.792811582464311
T_PROGECT_MH_W6,SIG_ATNF_7GENE,SIG_UST4_COEF,84,0.3668320340184266
T_PROGECT_MH_W6,SIG_ATNF_7GENE,SIG_UST_HUB4,84,0.1572339779285208
T_PROGECT_MH_W6,SIG_ATNF_7GENE,SIG_UST_MH2,84,0.25546218487394956
T_PROGECT_MH_W6,SIG_ATNF_7GENE,SIG_VDZ4,84,-0.16110154905335627
T_PROGECT_MH_W6,SIG_ATNF_7GENE,SIG_VDZ_ANDO7,84,-0.40566973777462795
T_PROGECT_MH_W6,SIG_ATNF_ARJIS5,SIG_ATNF_OSM1,84,0.6534777766528298
T_PROGECT_MH_W6,SIG_ATNF_ARJIS5,SIG_CROSS_UC4,84,0.9041611825453073
T_PROGECT_MH_W6,SIG_ATNF_ARJIS5,SIG_UST4_COEF,84,0.369079680064797
T_PROGECT_MH_W6,SIG_ATNF_ARJIS5,SIG_UST_HUB4,84,0.3369444163207452
T_PROGECT_MH_W6,SIG_ATNF_ARJIS5,SIG_UST_MH2,84,0.23543586109142453
T_PROGECT_MH_W6,SIG_ATNF_ARJIS5,SIG_VDZ4,84,0.041146096993014074
T_PROGECT_MH_W6,SIG_ATNF_ARJIS5,SIG_VDZ_ANDO7,84,-0.009618305153386656
T_PROGECT_MH_W6,SIG_ATNF_OSM1,SIG_CROSS_UC4,84,0.5340488002429887
T_PROGECT_MH_W6,SIG_ATNF_OSM1,SIG_UST4_COEF,84,0.32661739394553
T_PROGECT_MH_W6,SIG_ATNF_OSM1,SIG_UST_HUB4,84,0.3628429685127063
T_PROGECT_MH_W6,SIG_ATNF_OSM1,SIG_UST_MH2,84,0.10286524248253519
T_PROGECT_MH_W6,SIG_ATNF_OSM1,SIG_VDZ4,84,0.22982687050723904
T_PROGECT_MH_W6,SIG_ATNF_OSM1,SIG_VDZ_ANDO7,84,0.17440518376025108
T_PROGECT_MH_W6,SIG_CROSS_UC4,SIG_UST4_COEF,84,0.4283486888731396
T_PROGECT_MH_W6,SIG_CROSS_UC4,SIG_UST_HUB4,84,0.3618507644021464
T_PROGECT_MH_W6,SIG_CROSS_UC4,SIG_UST_MH2,84,0.29758023691404273
T_PROGECT_MH_W6,SIG_CROSS_UC4,SIG_VDZ4,84,0.0018224157132732612
T_PROGECT_MH_W6,SIG_CROSS_UC4,SIG_VDZ_ANDO7,84,-0.11643211501468057
