dataset_id,platform,gene_symbol,n_direct_probes,probe_ids,mapping_status
E-MTAB-7604_ATNF,Illumina HiSeq 4000,AMPD2,1,AMPD2,MAPPED
E-MTAB-7604_ATNF,Illumina HiSeq 4000,ARMC2,1,ARMC2,MAPPED
E-MTAB-7604_ATNF,Illumina HiSeq 4000,ASB7,1,ASB7,MAPPED
E-MTAB-7604_ATNF,Illumina HiSeq 4000,BCAP31,1,BCAP31,MAPPED
E-MTAB-7604_ATNF,Illumina HiSeq 4000,BCL11B,1,BCL11B,MAPPED
E-MTAB-7604_ATNF,Illumina HiSeq 4000,CCL11,1,CCL11,MAPPED
E-MTAB-7604_ATNF,Illumina HiSeq 4000,CDH23,1,CDH23,MAPPED
E-MTAB-7604_ATNF,Illumina HiSeq 4000,CFI,1,CFI,MAPPED
E-MTAB-7604_ATNF,Illumina HiSeq 4000,CRB2,1,CRB2,MAPPED
E-MTAB-7604_ATNF,Illumina HiSeq 4000,DCHS2,1,DCHS2,MAPPED
E-MTAB-7604_ATNF,Illumina HiSeq 4000,DUOX2,1,DUOX2,MAPPED
E-MTAB-7604_ATNF,Illumina HiSeq 4000,FAM155A,1,FAM155A,MAPPED
E-MTAB-7604_ATNF,Illumina HiSeq 4000,HSD3B1,1,HSD3B1,MAPPED
E-MTAB-7604_ATNF,Illumina HiSeq 4000,IGFBP5,1,IGFBP5,MAPPED
E-MTAB-7604_ATNF,Illumina HiSeq 4000,IL11,1,IL11,MAPPED
E-MTAB-7604_ATNF,Illumina HiSeq 4000,IL13RA2,1,IL13RA2,MAPPED
E-MTAB-7604_ATNF,Illumina HiSeq 4000,KDM5D,1,KDM5D,MAPPED
E-MTAB-7604_ATNF,Illumina HiSeq 4000,LCN2,1,LCN2,MAPPED
E-MTAB-7604_ATNF,Illumina HiSeq 4000,MAATS1,1,MAATS1,MAPPED
E-MTAB-7604_ATNF,Illumina HiSeq 4000,MEGF6,1,MEGF6,MAPPED
E-MTAB-7604_ATNF,Illumina HiSeq 4000,MUC1,1,MUC1,MAPPED
E-MTAB-7604_ATNF,Illumina HiSeq 4000,MUC4,1,MUC4,MAPPED
E-MTAB-7604_ATNF,Illumina HiSeq 4000,NAPSB,1,NAPSB,MAPPED
E-MTAB-7604_ATNF,Illumina HiSeq 4000,OCRL,1,OCRL,MAPPED
E-MTAB-7604_ATNF,Illumina HiSeq 4000,OSM,1,OSM,MAPPED
E-MTAB-7604_ATNF,Illumina HiSeq 4000,PCBP3,1,PCBP3,MAPPED
E-MTAB-7604_ATNF,Illumina HiSeq 4000,PDZK1IP1,1,PDZK1IP1,MAPPED
E-MTAB-7604_ATNF,Illumina HiSeq 4000,PIWIL1,1,PIWIL1,MAPPED
E-MTAB-7604_ATNF,Illumina HiSeq 4000,PTGS2,1,PTGS2,MAPPED
E-MTAB-7604_ATNF,Illumina HiSeq 4000,RGS13,1,RGS13,MAPPED
E-MTAB-7604_ATNF,Illumina HiSeq 4000,SELE,1,SELE,MAPPED
E-MTAB-7604_ATNF,Illumina HiSeq 4000,STC1,1,STC1,MAPPED
E-MTAB-7604_ATNF,Illumina HiSeq 4000,TNFRSF11B,1,TNFRSF11B,MAPPED
E-MTAB-7604_ATNF,Illumina HiSeq 4000,VNN2,1,VNN2,MAPPED
E-MTAB-7604_ATNF,Illumina HiSeq 4000,WNK2,1,WNK2,MAPPED
