dataset_id,platform,gene_symbol,n_direct_probes,probe_ids,mapping_status
GSE206285_UNIFI,GPL13158,AMPD2,1,212360_PM_at,MAPPED
GSE206285_UNIFI,GPL13158,ARMC2,1,223866_PM_at,MAPPED
GSE206285_UNIFI,GPL13158,ASB7,2,219996_PM_at;226513_PM_at,MAPPED
GSE206285_UNIFI,GPL13158,BCAP31,1,200837_PM_at,MAPPED
GSE206285_UNIFI,GPL13158,BCL11B,3,219528_PM_s_at;222895_PM_s_at;224310_PM_s_at,MAPPED
GSE206285_UNIFI,GPL13158,CCL11,1,210133_PM_at,MAPPED
GSE206285_UNIFI,GPL13158,CDH23,4,1552436_PM_a_at;224527_PM_at;232845_PM_at;232846_PM_s_at,MAPPED
GSE206285_UNIFI,GPL13158,CFI,2,1555564_PM_a_at;203854_PM_at,MAPPED
GSE206285_UNIFI,GPL13158,CRB2,1,1552506_PM_at,MAPPED
GSE206285_UNIFI,GPL13158,DCHS2,2,220373_PM_at;242764_PM_at,MAPPED
GSE206285_UNIFI,GPL13158,DUOX2,1,219727_PM_at,MAPPED
GSE206285_UNIFI,GPL13158,FAM155A,2,214825_PM_at;230869_PM_at,MAPPED
GSE206285_UNIFI,GPL13158,HSD3B1,2,204515_PM_at;215665_PM_at,MAPPED
GSE206285_UNIFI,GPL13158,IGFBP5,6,1555997_PM_s_at;203424_PM_s_at;203425_PM_s_at;203426_PM_s_at;211958_PM_at;211959_PM_at,MAPPED
GSE206285_UNIFI,GPL13158,IL11,2,206924_PM_at;206926_PM_s_at,MAPPED
GSE206285_UNIFI,GPL13158,IL13RA2,1,206172_PM_at,MAPPED
GSE206285_UNIFI,GPL13158,KDM5D,1,206700_PM_s_at,MAPPED
GSE206285_UNIFI,GPL13158,LCN2,1,212531_PM_at,MAPPED
GSE206285_UNIFI,GPL13158,MAATS1,0,,MISSING
GSE206285_UNIFI,GPL13158,MEGF6,2,213942_PM_at;226869_PM_at,MAPPED
GSE206285_UNIFI,GPL13158,MUC1,3,207847_PM_s_at;211695_PM_x_at;213693_PM_s_at,MAPPED
GSE206285_UNIFI,GPL13158,MUC4,5,1561785_PM_at;204895_PM_x_at;217109_PM_at;217110_PM_s_at;235055_PM_x_at,MAPPED
GSE206285_UNIFI,GPL13158,NAPSB,2,228055_PM_at;228056_PM_s_at,MAPPED
GSE206285_UNIFI,GPL13158,OCRL,2,203446_PM_s_at;208316_PM_s_at,MAPPED
GSE206285_UNIFI,GPL13158,OSM,2,214637_PM_at;230170_PM_at,MAPPED
GSE206285_UNIFI,GPL13158,PCBP3,1,205663_PM_at,MAPPED
GSE206285_UNIFI,GPL13158,PDZK1IP1,2,1553589_PM_a_at;219630_PM_at,MAPPED
GSE206285_UNIFI,GPL13158,PIWIL1,1,214868_PM_at,MAPPED
GSE206285_UNIFI,GPL13158,PTGS2,2,1554997_PM_a_at;204748_PM_at,MAPPED
GSE206285_UNIFI,GPL13158,RGS13,3,1568751_PM_at;1568752_PM_s_at;210258_PM_at,MAPPED
GSE206285_UNIFI,GPL13158,SELE,1,206211_PM_at,MAPPED
GSE206285_UNIFI,GPL13158,STC1,3,204595_PM_s_at;204596_PM_s_at;204597_PM_x_at,MAPPED
GSE206285_UNIFI,GPL13158,TNFRSF11B,2,204932_PM_at;204933_PM_s_at,MAPPED
GSE206285_UNIFI,GPL13158,VNN2,1,205922_PM_at,MAPPED
GSE206285_UNIFI,GPL13158,WNK2,5,1557536_PM_at;1560866_PM_at;1562026_PM_at;227217_PM_at;229547_PM_s_at,MAPPED
