dataset_id,platform,gene_symbol,n_direct_probes,probe_ids,mapping_status
GSE212849_PROGECT,GPL570,AMPD2,1,212360_at,MAPPED
GSE212849_PROGECT,GPL570,ARMC2,1,223866_at,MAPPED
GSE212849_PROGECT,GPL570,ASB7,2,219996_at;226513_at,MAPPED
GSE212849_PROGECT,GPL570,BCAP31,1,200837_at,MAPPED
GSE212849_PROGECT,GPL570,BCL11B,3,219528_s_at;222895_s_at;224310_s_at,MAPPED
GSE212849_PROGECT,GPL570,CCL11,1,210133_at,MAPPED
GSE212849_PROGECT,GPL570,CDH23,4,1552436_a_at;224527_at;232845_at;232846_s_at,MAPPED
GSE212849_PROGECT,GPL570,CFI,2,1555564_a_at;203854_at,MAPPED
GSE212849_PROGECT,GPL570,CRB2,1,1552506_at,MAPPED
GSE212849_PROGECT,GPL570,DCHS2,2,220373_at;242764_at,MAPPED
GSE212849_PROGECT,GPL570,DUOX2,1,219727_at,MAPPED
GSE212849_PROGECT,GPL570,FAM155A,2,214825_at;230869_at,MAPPED
GSE212849_PROGECT,GPL570,HSD3B1,2,204515_at;241111_at,MAPPED
GSE212849_PROGECT,GPL570,IGFBP5,6,1555997_s_at;203424_s_at;203425_s_at;203426_s_at;211958_at;211959_at,MAPPED
GSE212849_PROGECT,GPL570,IL11,2,206924_at;206926_s_at,MAPPED
GSE212849_PROGECT,GPL570,IL13RA2,1,206172_at,MAPPED
GSE212849_PROGECT,GPL570,KDM5D,1,206700_s_at,MAPPED
GSE212849_PROGECT,GPL570,LCN2,1,212531_at,MAPPED
GSE212849_PROGECT,GPL570,MAATS1,8,1554147_s_at;1554528_at;1555719_a_at;1556487_a_at;1556488_s_at;1561429_a_at;1561430_s_at;236222_at,MAPPED
GSE212849_PROGECT,GPL570,MEGF6,2,213942_at;226869_at,MAPPED
GSE212849_PROGECT,GPL570,MUC1,3,207847_s_at;211695_x_at;213693_s_at,MAPPED
GSE212849_PROGECT,GPL570,MUC4,5,1561785_at;204895_x_at;217109_at;217110_s_at;235055_x_at,MAPPED
GSE212849_PROGECT,GPL570,NAPSB,2,228055_at;228056_s_at,MAPPED
GSE212849_PROGECT,GPL570,OCRL,2,203446_s_at;208316_s_at,MAPPED
GSE212849_PROGECT,GPL570,OSM,2,214637_at;230170_at,MAPPED
GSE212849_PROGECT,GPL570,PCBP3,1,205663_at,MAPPED
GSE212849_PROGECT,GPL570,PDZK1IP1,2,1553589_a_at;219630_at,MAPPED
GSE212849_PROGECT,GPL570,PIWIL1,1,214868_at,MAPPED
GSE212849_PROGECT,GPL570,PTGS2,2,1554997_a_at;204748_at,MAPPED
GSE212849_PROGECT,GPL570,RGS13,3,1568751_at;1568752_s_at;210258_at,MAPPED
GSE212849_PROGECT,GPL570,SELE,1,206211_at,MAPPED
GSE212849_PROGECT,GPL570,STC1,3,204595_s_at;204596_s_at;204597_x_at,MAPPED
GSE212849_PROGECT,GPL570,TNFRSF11B,2,204932_at;204933_s_at,MAPPED
GSE212849_PROGECT,GPL570,VNN2,1,205922_at,MAPPED
GSE212849_PROGECT,GPL570,WNK2,6,1557536_at;1560866_at;1562026_at;227217_at;229547_s_at;239670_at,MAPPED
